	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
0	Abeillia abeillei				LC				LC	LC			LC				LC				
1	Abroscopus albogularis				LC				LC	LC			LC				LC				
2	Abroscopus schisticeps				LC				LC	LC			LC				LC				
3	Abroscopus superciliaris				LC				LC	LC			LC				LC				
4	Aburria aburri				NT				NT				NT				NT				
5	Acanthagenys rufogularis				LC				LC	LC			LC				LC				
6	Acanthidops bairdi				LC				LC	LC			LC				LC				
7	Acanthis flammea												LC	LC			LC		LC		
8	Acanthisitta chloris				LC				LC	LC			LC				LC				
9	Acanthiza apicalis				LC				LC	LC			LC				LC				
10	Acanthiza chrysorrhoa				LC				LC	LC			LC				LC	LC			
11	Acanthiza cinerea				LC				LC	LC			LC				LC	LC			
12	Acanthiza ewingii				LC				LC	LC			LC				LC				
13	Acanthiza inornata				LC				LC	LC			LC				LC				
14	Acanthiza iredalei				LC				LC	LC			LC				LC				
15	Acanthiza katherina				LC				LC	LC			LC				LC				
16	Acanthiza lineata				LC				LC	LC			LC				LC				
17	Acanthiza murina				LC				LC	LC			LC				LC				
18	Acanthiza nana				LC				LC	LC			LC				LC				
19	Acanthiza pusilla				LC				LC	LC			LC				LC				
20	Acanthiza reguloides				LC				LC	LC			LC				LC				
21	Acanthiza robustirostris				LC				LC	LC			LC				LC				
22	Acanthiza uropygialis				LC				LC	LC			LC				LC				
23	Acanthoptila nipalensis				LC				LC	LC			LC				LC		LC		
24	Acanthorhynchus superciliosus				LC				LC	LC			LC				LC				
25	Acanthorhynchus tenuirostris				LC				LC	LC			LC				LC				
26	Acanthornis magna				LC				LC	LC			LC				LC	LC			
27	Accipiter albogularis				LC				LC	LC			LC				LC				
28	Accipiter badius				LC				LC	LC			LC			LC	LC				
29	Accipiter bicolor				LC				LC	LC			LC				LC				
30	Accipiter brachyurus				VU				VU				VU				VU		VU		
31	Accipiter brevipes				LC				LC	LC			LC	LC		LC	LC		LC		
32	Accipiter butleri		VU		VU				VU				VU				VU				
33	Accipiter castanilius				LC				LC	LC			LC				LC				
34	Accipiter cirrocephalus				LC				LC	LC			LC				LC				
35	Accipiter collaris				NT				NT				NT				NT				
36	Accipiter cooperii				LC				LC	LC			LC				LC				
37	Accipiter erythrauchen				LC				LC	LC			LC		NT		NT				
38	Accipiter erythropus				LC				LC	LC			LC				LC				
39	Accipiter fasciatus				LC				LC	LC			LC				LC				
40	Accipiter francesiae				LC				LC	LC			LC				LC				
41	Accipiter gentilis				LC				LC	LC			LC	LC		LC	LC				
42	Accipiter griseiceps				LC				LC	LC			LC				LC				
43	Accipiter gularis				LC				LC	LC			LC			LC	LC				
44	Accipiter gundlachi				EN				EN				EN			EN	EN	EN			
45	Accipiter haplochrous				NT				NT				NT				NT				
46	Accipiter henicogrammus				LC				LC	LC			LC		NT		NT				
47	Accipiter henstii				NT				NT				NT				NT				
48	Accipiter hiogaster														LC		LC				
49	Accipiter imitator				VU				VU				VU				VU				
50	Accipiter luteoschistaceus				VU				VU				VU				VU		VU		
51	Accipiter madagascariensis				NT				NT				NT				NT		NT		
52	Accipiter melanochlamys				LC				LC	LC			LC				LC				
53	Accipiter melanoleucus				LC				LC	LC			LC				LC				
54	Accipiter meyerianus				LC				LC	LC			LC				LC				
55	Accipiter minullus				LC				LC	LC			LC				LC				
56	Accipiter nanus				NT				NT				NT				NT				
57	Accipiter nisus				LC				LC	LC			LC	LC		LC	LC				
58	Accipiter novaehollandiae														LC		LC				
59	Accipiter ovampensis				LC				LC	LC			LC			LC	LC				
60	Accipiter poliocephalus				LC				LC	LC			LC				LC				
61	Accipiter poliogaster				LC				LC	LC			NT				NT				
62	Accipiter princeps				NT				VU		VU		VU				VU				
63	Accipiter rhodogaster				LC				LC	LC			LC				LC				
64	Accipiter rufitorques				LC				LC	LC			LC				LC				
65	Accipiter rufiventris				LC				LC	LC			LC				LC				
66	Accipiter soloensis				LC				LC	LC			LC			LC	LC				
67	Accipiter striatus						LC		LC	LC			LC				LC				
68	Accipiter superciliosus				LC				LC	LC			LC				LC				
69	Accipiter sylvestris														LC		LC				
70	Accipiter tachiro														LC		LC				
71	Accipiter toussenelii														LC		LC				
72	Accipiter trinotatus				LC				LC	LC			LC				LC				
73	Accipiter trivirgatus				LC				LC	LC			LC				LC				
74	Accipiter virgatus				LC				LC	LC			LC			LC	LC				
75	Aceros nipalensis				VU				VU				VU				VU	VU	VU		
76	Achaetops pycnopygius				LC				LC	LC			LC				LC	LC			
77	Acridotheres albocinctus				LC				LC	LC			LC				LC	LC			
78	Acridotheres burmannicus																LC				
79	Acridotheres cinereus				LC				LC	LC			LC				LC		LC	VU	
80	Acridotheres cristatellus				LC				LC	LC			LC				LC				
81	Acridotheres fuscus				LC				LC	LC			LC				LC				
82	Acridotheres ginginianus				LC				LC	LC			LC				LC		LC		
83	Acridotheres grandis																LC				
84	Acridotheres javanicus																VU				
85	Acridotheres leucocephalus																LC				
86	Acridotheres melanopterus																CR		CR		
